Designator,Value,Quantity,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Supplier 2,Supplier Part Number 2,Description

"C1_1, C1_2, C2_1, C2_2, C3_1, C3_2, C5, C6, C12, C16, C18, C31, C32, C36, C37, C38, C39, C46, C47, C50, C52, C54, C59, C64, C67",".1uF","25","Yageo","CC0603ZRY5V9BB104","Digi-Key","311-1343-1-ND","","","Capacitor"
"C4, C10, C30, C45, C56, C60, C61","33uF","7","AVX Corporation","TPSA336K006R0600","Digi-Key","478-1755-1-ND","","","Polarized Capacitor (Surface Mount)"
"C7, C11, C57, C62, C65","1uF","5","Yageo","CC0805KKX7R7BB105","Digi-Key","311-1365-1-ND","","","Capacitor"
"C8, C13, C17, C33, C42, C43, C44, C48, C51, C53, C55","10nF","11","Kemet","C0603C103K3GACTU","Digi-Key","399-8987-1-ND","","","Capacitor"
"C9, C14, C34, C40, C41, C49, C58, C63, C66","10pF","9","Samsung Electro-Mechanics America, Inc","CL10C100JB8NCNC","Digi-Key","1276-2154-1-ND","","","Capacitor"
"C15","33uF","1","AVX Corporation","TPSA336K006R0600","Digi-Key","478-1755-1-ND","","","Capacitor"
"C19, C35","100uF","2","Vishay Sprague","TL8A0107M010C","Digi-Key","718-1921-1-ND","","","Polarized Capacitor (Surface Mount)"
"C20","68uF","1","TDK Corporation","C3216X5R0J686M160AB","Digi-Key","445-14671-1-ND","","","Capacitor"
"C21, C24, C29","10uF","3","Samsung Electro-Mechanics America, Inc","CL10A106MQ8NNNC","Digi-Key","1276-1119-1-ND","","","Capacitor"
"C22, C27","10nF","2","Kemet","C0603C103K3GACTU","Digi-Key","399-8987-1-ND","","","Capacitor"
"C23, C28","4.7uF","2","Murata Electronics North America","GRM188R60J475KE19D","Digi-Key","490-3297-1-ND","Newark","24R6335","Capacitor"
"C25, C26",".1uF","2","Yageo","CC0603ZRY5V9BB104","Digi-Key","311-1343-1-ND","","","Capacitor"
"D1, D2","","2","Comchip Technology","CDBU0245","Digi-Key","641-1284-1-ND","","","Schottky Rectifier"
"D3, D4, D5, D6","","4","Kingbright Company LLC","APT3216YC","Digi-Key","754-1145-1-ND","","","Typical INFRARED GaAs LED"
"D7","","1","Loading...","Loading...","Mouser","604-APTF3216QBDZGSUR","","","The Blue source color devices are made with InGaN Light     Emitting Diode.     The Green source color devices are made with InGaN     on Sapphire Light Emitting Diode.     The Hyper Red source color devices are made with Al-  GaInP on GaAs substrate Ligh"
"D8, D9, D10, D11","","4","Kingbright Company LLC","APL3015SGC-F01","Digi-Key","754-1111-1-ND","","","Typical INFRARED GaAs LED"
"J1_1, J1_2, J1_3, J1_4, J1_5, J1_6","","6","Loading...","Loading...","Samtec","EJH-110-01-F-D-SM-LC","","","Header, 10-Pin, Dual row"
"J2_1, J2_2, J2_3, J2_4, J2_5, J2_6, J3","","7","Molex Inc","0731000207","Digi-Key","WM5528-ND","","","SMB Straight Connector"
"J4","","1","CUI Inc","PJ-002BH-SMT-TR","Digi-Key","CP-002BHPJCT-ND","","","Header, 3-Pin"
"J5, J10, J11, J12","","4","Loading...","Loading...","Stock","2 pin 100 mil","","","Header, 2-Pin"
"J6, J7","","2","Molex Inc","0731000103","Digi-Key","WM5523-ND","","","SMB Straight Connector"
"J8","DNP","1","Molex Inc","0731000207","Digi-Key","WM5528-ND","","","SMB Straight Connector"
"J9","","1","Loading...","Loading...","Stock","6 pin 100 mil","","","Header, 6-Pin"
"J13","","1","Loading...","Loading...","Stock","2x13 pin 100mil Headers","","","Header, 13-Pin, Dual row"
"JP1, JP2, JP3, JP4, JP5, JP7","0","6","Loading...","Loading...","Digi-Key","311-0.0GRCT-ND This part is RoHS compliant.","","",""
"JP6","","1","Loading...","Loading...","Stock","3 pin 100mil Headers","","",""
"JP8","","1","Loading...","Loading...","Stock","3 pin 100mil Headers","","",""
"L1, L2, L3, L6, L7","2A 300 OHM @ 100MHz","5","Laird-Signal Integrity Products","MI0603L301R-10","Digi-Key","240-2374-1-ND","","","Magnetic-Core Inductor"
"L4, L5","2.2uH","2","Wurth Electronics Inc","74479776222","Digi-Key","732-2954-1-ND","","","Inductor"
"Q1, Q2, Q3, Q4, Q5, Q6, Q7","AO3416","7","Alpha & Omega Semiconductor Inc","AO3416","Digi-Key","785-1011-1-ND","","","N-Channel MOSFET 1.8V Logic Level"
"R1_1, R1_2, R2_1, R2_2","24.9","4","TE Connectivity","RP73PF1J24R9BTDF","Digi-Key","A109954CT-ND","","","Resistor"
"R3","100","1","Yageo","RC0603FR-07100RL","Digi-Key","311-100HRCT-ND","","","Resistor"
"R4, R11, R19, R20, R21, R26, R27, R28, R29","47K","9","Yageo","RC0603JR-0747KL","Digi-Key","311-47KGRTR-ND","","","Resistor"
"R5","49.9K","1","Panasonic Electronic Components","ERA-3AEB4992V","Digi-Key","P49.9KDBCT-ND","","","Resistor"
"R6","34K","1","Yageo","RT0603DRD0734KL","Digi-Key","311-34KDCT-ND","","","Resistor"
"R7","15.8K","1","Panasonic Electronic Components","ERA-3AEB1582V","Digi-Key","P15.8KDBCT-ND","","","Resistor"
"R8","100K","1","Yageo","RC0603JR-07100KL","Digi-Key","311-100KGRCT-ND","","","Resistor"
"R9","80.6K","1","Panasonic Electronic Components","ERA-3AEB8062V","Digi-Key","P80.6KDBCT-ND","","","Resistor"
"R10","64.9K","1","Stackpole Electronics Inc","RMCF0603FT64K9","Digi-Key","RMCF0603FT64K9CT-ND","","","Resistor"
"R12, R15, R16, R17, R18, R22, R23, R24, R25","470","9","Yageo","RC0603JR-07470RL","Digi-Key","311-470GRTR-ND","","","Resistor"
"R13, R14","220","2","Yageo","RC0603JR-07220RL","Digi-Key","311-220GRCT-ND","","","Resistor"
"R?","49.9","1","Panasonic Electronic Components","ERJ-8ENF49R9V","Digi-Key","P49.9FCT-ND","","","Resistor"
"SW1","","1","TE Connectivity","FSM4JH","Digi-Key","450-1650-ND","","","Switch"
"T1_1, T1_2","","2","Pulse Electronics Corporation","CX2156NL","Digi-Key","553-1499-ND","","","TRANSFORMR BALUN 2.3-2700MHZ SMD"
